Loss,Accuracy,Epochs,Train Set,Validation Set,Test Set
1.1385763883590698,0.8585131764411926,80,"[7, 5, 6, 4, 0, 2]",[3],[1]
0.5107019543647766,0.9175000190734863,80,"[6, 5, 4, 2, 0, 7]",[1],[3]
0.9222860932350159,0.8752997517585754,80,"[2, 0, 3, 6, 4, 7]",[5],[1]
1.0827580690383911,0.8920863270759583,80,"[0, 4, 6, 2, 5, 7]",[3],[1]
0.5205082297325134,0.9254079461097717,80,"[0, 7, 5, 1, 3, 6]",[4],[2]
0.17676126956939697,0.9626865386962891,80,"[3, 1, 5, 7, 6, 2]",[0],[4]
1.0186761617660522,0.8944844007492065,80,"[6, 7, 2, 3, 5, 0]",[4],[1]
0.7019101977348328,0.9075000286102295,80,"[4, 0, 3, 2, 1, 5]",[7],[6]
1.3534245491027832,0.8050000071525574,80,"[2, 7, 3, 1, 5, 4]",[0],[6]
0.6082429885864258,0.9160671234130859,80,"[5, 7, 0, 6, 3, 2]",[4],[1]
0.04721764102578163,0.9900497794151306,80,"[0, 3, 7, 6, 1, 2]",[5],[4]
1.0562611818313599,0.8550000190734863,80,"[5, 0, 7, 4, 1, 2]",[6],[3]
0.8819301724433899,0.9020978808403015,80,"[6, 5, 4, 7, 0, 1]",[3],[2]
1.0298713445663452,0.8902742862701416,80,"[6, 4, 0, 3, 7, 1]",[2],[5]
0.6891235113143921,0.9075000286102295,80,"[5, 2, 1, 7, 4, 6]",[0],[3]
0.3676062226295471,0.9510489702224731,80,"[3, 1, 4, 0, 5, 7]",[6],[2]
0.3874741196632385,0.9351620674133301,80,"[2, 0, 5, 6, 3, 1]",[4],[7]
0.7495288848876953,0.8974999785423279,80,"[0, 4, 1, 7, 5, 2]",[6],[3]
0.2488495409488678,0.9576059579849243,80,"[5, 6, 3, 2, 4, 1]",[7],[0]
0.3159460127353668,0.9351620674133301,80,"[1, 4, 6, 0, 2, 5]",[3],[7]
1.0638363361358643,0.8628429174423218,80,"[7, 1, 3, 0, 6, 4]",[2],[5]
0.9852038621902466,0.8424999713897705,80,"[7, 0, 2, 4, 5, 3]",[1],[6]
0.8448782563209534,0.8450000286102295,80,"[2, 1, 0, 5, 4, 3]",[7],[6]
1.5945348739624023,0.7599999904632568,80,"[2, 0, 7, 1, 3, 5]",[4],[6]
0.5774403214454651,0.9277389049530029,80,"[7, 3, 1, 6, 4, 0]",[5],[2]
0.8893418908119202,0.8824940323829651,80,"[5, 6, 3, 0, 2, 4]",[7],[1]
0.73540198802948,0.8920863270759583,80,"[4, 2, 7, 0, 6, 3]",[5],[1]
1.0539389848709106,0.8802992701530457,80,"[6, 4, 7, 0, 3, 1]",[2],[5]
0.43232178688049316,0.9067599177360535,80,"[5, 1, 7, 3, 0, 6]",[4],[2]
0.19659464061260223,0.9526184797286987,80,"[1, 0, 5, 3, 2, 4]",[6],[7]
0.18566420674324036,0.9726368188858032,80,"[6, 0, 5, 3, 1, 7]",[2],[4]
0.19371436536312103,0.9625934958457947,80,"[6, 4, 2, 3, 1, 0]",[5],[7]
0.808017373085022,0.8944844007492065,80,"[3, 7, 2, 4, 0, 6]",[5],[1]
0.40789955854415894,0.9476309418678284,80,"[4, 7, 5, 1, 2, 3]",[6],[0]
0.8940013647079468,0.8650000095367432,80,"[5, 0, 7, 6, 2, 1]",[4],[3]
0.870163083076477,0.8776978254318237,80,"[3, 4, 5, 2, 7, 0]",[6],[1]
0.07441391795873642,0.9875621795654297,80,"[0, 6, 5, 7, 2, 3]",[1],[4]
0.39483755826950073,0.9230769276618958,80,"[5, 4, 6, 0, 3, 1]",[7],[2]
0.4951830208301544,0.9002493619918823,80,"[1, 6, 4, 2, 3, 5]",[0],[7]
1.0611014366149902,0.8503740429878235,80,"[6, 7, 0, 1, 2, 4]",[3],[5]
1.3478535413742065,0.8274999856948853,80,"[4, 5, 0, 7, 2, 1]",[3],[6]
0.9129406809806824,0.862500011920929,80,"[1, 7, 0, 5, 6, 4]",[2],[3]
0.3245328664779663,0.9510489702224731,80,"[5, 6, 4, 7, 1, 3]",[0],[2]
1.1447809934616089,0.8561151027679443,80,"[6, 4, 0, 3, 2, 5]",[7],[1]
1.2333402633666992,0.8399999737739563,80,"[0, 1, 7, 2, 5, 4]",[3],[6]
0.8586769104003906,0.8920863270759583,80,"[6, 7, 2, 5, 3, 4]",[0],[1]
0.2753456234931946,0.9551122188568115,80,"[7, 2, 1, 5, 6, 4]",[3],[0]
0.5566142797470093,0.939393937587738,80,"[6, 4, 5, 3, 1, 0]",[7],[2]
0.2938382029533386,0.9625934958457947,80,"[1, 5, 3, 6, 2, 4]",[7],[0]
1.1164774894714355,0.8274999856948853,80,"[1, 7, 2, 5, 3, 4]",[0],[6]
